word,example
Cornmuse,A cornmuse is a musical instrument.
Corno di bassetto,A corno di bassetto is a low-pitched woodwind instrument.
Corno Inglese,A Corno Inglese is a musical instrument.
Cornopean,A cornopean player is in the marching band.
Cornsheller,A cornsheller is a machine that removes corn kernels from the cob.
Cornshuck,Cornshuck used as a base for a Halloween decoration.
Cornstalk,Cornstalks stand tall in the field.
Cornstarch,Cornstarch is a fine white powder made from corn.
Cornu,A cornu is a type of musical instrument.
Cornu Ammonis,A fossilized Cornu Ammonis is on display in the museum.
Cornua,The horns of the unicorn are called cornua.
Cornua Ammonis,Cornua Ammonis is a fossil of a prehistoric marine animal.
Cornucopia,A cornucopia overflowing with fruits and vegetables.
Cornucopias,Cornucopias are filled with fruits and vegetables.
Cornute,Two cornute goats were fighting over a tuft of grass.
Cornuted,An adult male rhinoceros with large cornuted horns.
Cornuto,The man was called cornuto by his wife.
Cornutor,The cornutor is a type of beetle that is found in North America.
Corny,A corny joke that makes you laugh.
Corocore,The corocore is a type of tropical fruit.
Corody,A corody is a small dwelling for a priest.
Corol,The red corolla of the flower is the most striking feature.
Corolla,A red Toyota Corolla is parked in the driveway.
Corollaceous,"The corymbs are subcorymbose, with corymbose-corollaceous bracts."
Corollaries,There are several corollaries to this theorem.
Corollary,The corollary to the theorem is that all primes are odd.
Corollate,The data correlated to the results.
Corollated,The correlated data points showed a strong relationship.
Corollet,The corolla of a flower is made up of five white corollets.
Corollifloral,The orchid family is an example of a corollofloral family.
Corolliflorous,The corollaflorous flower is a type of flower that has a corolla.
Corolline,A child in a costume of Coroline is seen standing in front of a door.
Coromandel,Coral reefs are found in the Coromandel Sea.
Corona,Corona is a type of beer.
Coronach,The wailing of the bagpipes at the coronach was haunting.
Coronae,The coronae are hot regions of the sun.
Coronal,Coronal mass ejections are caused by the sun's magnetic field.
Coronamen,Coronamen are the men who have contracted the coronavirus.
Coronary,The coronary artery is blocked.
Coronas,The man was drinking Coronas at the party.
Coronate,The crown was placed on the king's head to coronate him.
Coronated,The king was crowned in a grand ceremony.
Coronation,the coronation of Queen Elizabeth II in 1953
Coronel,Coronel is a town in Argentina.
Coroner,The coroner was called to the scene of the accident.
Coronet,A man wears a coronet on his head.
Coroneted,a coroneted swan gliding across the lake
Coroniform,The bacteria had coroniform shape.
Coronilla,A field of yellow coronilla flowers in bloom.
Coronis,Coronis is the mother of Asclepius.
Coronoid,The coronoid process is a bony protrusion on the anterior surface of the mandible.
Coronule,The coronules of a horse are the long hairs on the fetlock.
Corosso,The corossol tree grows in the tropical rainforest.
Coroun,The coroun is a symbol of royalty.
Corozo,A corozo nut is a type of palm nut that is edible.
Corpora,Corpora are collections of texts.
Corpora callosa,Corpus callosum is a thick band of nerve fibers that connects the two hemispheres of the brain.
Corpora lutea,Corpus lutea are yellow bodies that form after ovulation.
Corpora striata,The corpora striata are located in the brain.
Corporace,Corporace employees are required to attend weekly meetings.
Corporal,Corporal gives instructions to his soldiers.
Corporale,A corporal is a low-ranking military officer.
Corporalities,Corporealities are the physical aspects of a person or thing.
Corporality,The corporality of the dance was captivating.
Corporally,"Corporeally, the victim was in bad shape."
Corporalship,Corporalship is a state of being a corporal.
Corporas,Corporas is a company that provides software for managing corporate data.
Corporate,A corporate logo on a glass door.
Corporately,The company was committed to corporately giving back to the community.
Corporation,A corporation is a legal entity created by the government.
Corporator,A Corporator is a person elected by the people of a city.
Corporature,Corporature is a term that refers to the structure and organization of a corporation.
Corporeal,Corporeal entities are subject to the laws of physics.
Corporealism,Corporealism is the belief that the body is the only reality.
Corporealist,Corporealist theories focus on the body as a source of knowledge and experience.
Corporealities,Corporealities are the ways in which bodies are experienced and understood.
Corporeality,The corporeality of the dancer was on full display.
Corporeally,The corporeal man was transformed into a spirit.
Corporealness,Corporealness is the state of being corporeal.
Corporeity,The painting captures the corporeality of the human form.
Corporify,A company is looking to corporatify its management structure.
Corposant,Corpsant seen over the Pacific Ocean.
Corps,The military corps is preparing for war.
Corpse,The corpse lies in state before the funeral.
Corpulence,A corpulent man is sitting on a park bench.
Corpulency,The corpulency of the man made it difficult for him to fit into the airplane seat.
Corpulent,The corpulent man sat on the couch eating a bag of chips.
Corpulently,A corpulently man sits in an armchair reading a book.
Corpus,A corpus of books is a collection of texts.
Corpuscle,White corpuscles are a type of blood cell.
Corpuscular,Corpuscular radiation is a type of radiation that is made up of particles.
Corpuscularian,Robert Boyle was a Corpuscularian.
Corpuscule,a corpuscule moves through the cytoplasm of a cell
Corpusculous,Corpuscles are the smallest unit of matter.
Corrade,The rock face was corroded by the harsh weather.
Corradial,The corradial muscles are located in the heart.
Corradiate,The two groups of people co-ordinated their efforts to clean up the beach.
Corradiation,The corradiation of the plant is due to its asymmetrical shape.
Corral,The cowboys corralled the cattle.
Corraled,The cattle were corralled into a pen.
Corralling,The cowboys were corralling the cattle.
Corrasion,Corrasion is the process of wearing away rock by friction.
Corrasive,The corrosive chemicals were stored in a safe place.
Correct,The teacher corrected the student's math problem.
Correctable,Most spelling errors are correctable.
Corrected,The mistake was corrected immediately.
Correctible,The error in the report was correctible.
Correctify,The teacher corrected the student's test and then marked it.
Correcting,The teacher is correcting the student's grammar.
Correction,The correction was made to the text.
Correctional,Correctional facility is used to house people who have committed crimes.
Correctioner,A corrector checks grammar and punctuation in a manuscript.
Corrective,The corrective action was taken immediately.
Correctly,The student is correctly solving the math problem.
Correctness,Correctness is essential for a smooth-running operation.
Corrector,The corrector made a few changes to the manuscript.
Correctory,The prisoner was transferred to a correctional facility.
Correctress,The correctress was a strict teacher who demanded perfection from her students.
Corregidor,The Corregidor was a strategic island used during the Spanish-American War.
Correi,I ran to the train station.
Correlatable,The data is highly correlatable.
Correlate,The amount of snow in the winter correlates to the number of tourists that visit the town.
Correlated,The amount of rain correlated to the number of umbrellas sold.
Correlating,The rise in temperature correlates to the melting of the ice caps.
Correlation,There is a high correlation between the number of hours students study and their exam results.
Correlative,"Correlative conjunctions are used in pairs, such as either ... or, both ... and, not only ... but also."
Correlatively,The two parts of the sentence are correlated.
Correlativeness,The correlativeness of these two concepts is essential to understanding the topic.
Correligionist,two correligionists discussing the church's new policies
Correption,The teacher gave the student a correption for not paying attention.
Correspond,The letters correspond to the numbers on the phone.
Corresponded,The two letters corresponded in tone and content.
Correspondence,The correspondence between the two friends was full of witty banter.
Correspondencies,There are many correspondences between the two paintings.
Correspondency,The correspondence between the two parties was very cordial.
Correspondent,The correspondents were on the scene of the accident.
Correspondently,"Correspondently, the number of applicants has declined."
Corresponding,The corresponding values are 1 and 2.
Correspondingly,"Correspondingly, the price of coffee has also increased."
Corresponsive,Corresponsive actions are those that are in harmony with each other.
Corridor,The corridor was dark and gloomy.
Corrie,Corrie is a popular British soap opera.
Corrigenda,The corrigenda to the report were published in the following issue.
Corrigendum,A corrigendum was issued to correct the error in the previous report.
Corrigent,The professor made a few corrigents to the student's essay.
Corrigibility,The corrigibility of human behavior is a topic of debate among philosophers.
Corrigible,The error was easily correctible.
Corrigibleness,The corrigibility of the defendant was a key factor in his sentencing.
Corrival,The Corrival river flows through the town of Castlebar.
Corrivalry,A fierce rivalry between the two rivals.
Corrivalship,There is a close corrivalship between Ford and Toyota.
Corrivate,Corrivate is a company that provides software for digital transformation.
Corrivation,Correlation between gender and age can be used to predict future trends.
Corroborant,Further corroborating evidence is needed to support this claim.
Corroborate,The evidence corroborated the witness's testimony.
Corroborated,The findings of the study were corroborated by independent research.
Corroborating,Corroborating evidence supports the hypothesis.
Corroboration,The police found corroboration for the suspect's alibi.
Corroborative,The corroborative evidence supported the defendant's alibi.
Corroboratory,The corroboratory evidence supported the witness's testimony.
Corrode,The iron railings have corroded over time.
Corroded,The corroded metal was a danger to the workers.
Corrodent,The corrodent acid slowly ate away at the metal.
Corrodiate,The acid corrodiates the metal.
Corrodibility,The metal with the lowest corrodibility is gold.
Corrodible,Steel is a corrodible metal.
Corroding,The metal was corroding due to the salt water.
Corrosibility,The corrodibility of a metal is determined by its composition and environment.
Corrosible,The corrodible metal was pitted and damaged.
Corrosibleness,The corrodibleness of the metal was tested under different conditions.
Corrosion,The corrosion of iron is a common problem.
Corrosive,The corrosive acid ate through the metal.
Corroval,"Corroval is a suburb of Melbourne, Victoria, Australia."
Corrovaline,A scientist takes a sample of corrovaline from a plant.
Corrugant,The corrugatant material was used to line the walls of the house.
Corrugate,The galvanized steel is corrugated.
Corrugated,A corrugated metal roof on a small outbuilding.
Corrugating,A corrugated iron roof on a building.
Corrugation,A corrugated iron roof on a building.
Corrugator,The corrugator muscle helps to create wrinkles on the forehead.
Corrugent,The corrodent acid ate through the metal.
Corrump,The politician was accused of corrupting the election.
Corrumpable,A corruptible person is easily bribed.
Corrupt,The corrupt official was sentenced to 20 years in prison.
Corrupt,No example available
Corrupted,The corrupted file could not be opened.
Corrupter,The corrupter is a person who uses their power to unfairly benefit themselves.
Corruptful,The corruptful government was overthrown by the people.
Corruptful,No example available
Corruptibility,The corruptibility of politicians is a major problem in many countries.
Corruptible,A corruptible person is easily bribed.
Corrupting,Corrupting power corrupts absolutely.
Corruptingly,He corruptedly used his position for personal gain.
Corruption,Corruption is a serious problem that can have a devastating impact on society.
Corruptionist,A corruptionist is a person who is involved in corruption.
Corruptive,Bribery is a corruptive practice.
Corruptless,The corruptless judge ruled in favor of the plaintiff.
Corruptly,The judge corruptly accepted a bribe to rule in favor of the defendant.
Corruptness,Corruptness is a disease that can destroy a country.
Corruptress,A corruptress was found guilty of embezzlement.
Corruptress,No example available
Corsac,The corsac is a small fox found in Central Asia.
Corsage,The bridesmaid wore a corsage on her wrist.
Corsair,A corsair sails the seas in search of treasure.
Corsak,"A Corsak is a small, wolf-like animal that lives in the steppes of Central Asia."
Corse,The island of Corsica is part of France.
Corselet,A woman wearing a corset to accentuate her waist.
Corsepresent,Corsica presents a unique opportunity for visitors to experience the beauty of the Mediterranean.
Corset,A corset is a piece of clothing worn to shape the body.
Corseted,A woman in a corseted dress is having her picture taken.
Corseting,Corseting is a type of body-shaping clothing.
Corslet,The knight was wearing a corslet over his chainmail.
Corsned,The corsned was a sacred stone used in Anglo-Saxon oaths.
Cortege,The funeral cortege passed by the church.
Cortes,The first Cortes was convened in 1188.
Cortex,The cortex is the outer layer of the brain.
Cortical,Cortical neurons are excited by electrical stimulation.
Corticate,The cortex of the brain is the outer layer.
Corticated,The tree trunk had a corticated exterior.
Cortices,"The cerebral cortices control movement, cognition, and perception."
Corticifer,Corticifer is a class of fungi that includes the truffles.
Corticiferous,Corticiferous refers to a stem that is covered in a corky tissue.
Corticiform,Corticiform is a type of tissue that is found in the brain and spinal cord.
Corticine,Corticine is a fungal metabolite.
Corticose,The roots of the plant are covered in a thick layer of cork called a cortex.
Corticous,The cortical bone is the dense outer layer of the skeleton.
Cortile,The courtyard of the palazzo was a tranquil space.
Corundum,"Corundum is a mineral that is found in various colors, including red (ruby), blue (sapphire), and yellow (yellow sapphire)."
Corundums,Corundums are precious gemstones that are often used in jewelry.
Coruscant,The Jedi Temple on Coruscant was destroyed during Order 66.
Coruscate,The lightning coruscated across the sky.
Coruscation,The coruscation of lightning lit up the sky.
Corve,peasants were forced to perform corves for the lord
Corvee,The serfs were forced to perform corvée labor on the lord's lands.
Corven,Corven is a family-friendly restaurant that serves delicious Italian food.
Corves,Corves were taxes that peasants had to pay.
Corvet,The Corvette is a sports car.
Corvette,Two Corvettes parked next to each other.
Corvetto,"Corvetto is a district of Milan, Italy."
Corvine,A raven is a large corvine bird.
Corvorant,"A corvorant flies overhead, searching for its next meal."
Corybant,A Corybant dances in a trance-like state.
Corybantes,Ancient Greek Corybantes were male attendants of Cybele.
Corybantiasm,A group of people are dancing in a Corybantic fashion.
Corybantic,A group of Corybantic dancers performed a ritual.
Corybants,The Corybants were worshippers of the god Dionysus.
Corymb,The corymb of the apple tree is covered in white flowers.
Corymbed,The corymbed flowers of the hawthorn tree are a beautiful sight to behold.
Corymbiferous,The inflorescence of the lily is corymbiferous.
Corymbose,Corymbose flowers are arranged in a flat-topped cluster.
Corymbosely,The flowers were arranged corymbosely on the stem.
Coryphaenoid,Coryphaenoid fishes are a family of marine ray-finned fishes.
Coryphee,The coryphees danced in the ballet.
Coryphei,The Coryphei are the leaders of the chorus.
Coryphene,Coryphene is a genus of moths.
Corypheus,Corypheus is the main antagonist of Dragon Age: Inquisition.
Corypheuses,Corypheuses are a type of fish found in the Atlantic Ocean.
Coryphodon,Coryphodon was a large rhinoceros-like mammal that lived in North America during the Eocene epoch.
Coryphodont,The Coryphodont was a type of ancient mammal that lived during the Jurassic period.
Coryza,Coryza is a medical condition that causes a runny nose.
Coscinomancy,The ancient Greeks used coscinomancy to predict the future.
Coscoroba,A Coscoroba swan is swimming in a lake.
Cosecant,The cosecant of 45 degrees is √2.
Cosen,My cousin is a musician.
Cosenage,"""Cosenage"" is the act of defrauding someone by pretending to be their cousin."
Cosening,cosening the customer into buying a product
Cosentient,The two parties were cosentient to the terms of the agreement.
Cosey,The couple spent a cosy evening in front of the fire.
Cosher,A kosher butcher is selling kosher meat.
Cosherer,A kosherer checks the meat to make sure it is kosher.
Coshering,The meat is koshered before it is eaten.
Cosier,A warm and cozy bed welcomes you after a long day.
Cosignificative,"""The cosignificative words of 'table' are 'desk' and 'counter'."""
Cosignitaries,Cosignitaries sign a document together in order to make it valid.
Cosignitary,Two cosignatories sign the contract.
Cosily,A couple cozily snuggles up on the couch.
Cosinage,The judge ruled that the cosignage agreement was invalid.
Cosine,The cosine of the angle between two vectors is the length of their projection onto each other.
Cosmetic,Cosmetic surgeon performs a face lift.
Cosmetical,Cosmetic products are used to enhance the appearance.
Cosmic,The cosmic rays are always present in the atmosphere.
Cosmical,The cosmical dance of the stars is a wonder to behold.
Cosmically,Cosmically aligned stars create beautiful nebulae.
Cosmogonal,The cosmogonal theory states that the Earth was formed by the accretion of smaller bodies.
Cosmogonic,A cosmogonic myth is a story that explains the creation of the world.
Cosmogonical,Cosmogonical theories attempt to explain the origin of the universe.
Cosmogonies,The study of cosmogonies is called cosmogony.
Cosmogonist,A cosmogonist is a person who studies the origin and evolution of the universe.
Cosmogony,The study of the origin of the universe is known as cosmogony.
Cosmographer,Cosmographers study the structure and evolution of the universe.
Cosmographic,Cosmographical studies are useful for understanding the structure of the universe.
Cosmographical,A cosmographic map of the solar system.
Cosmographically,"Cosmographically, the Earth is a small planet in the Milky Way galaxy."
Cosmographies,Cosmographies are the study of the universe.
Cosmography,The cosmography of the universe is still being debated by astronomers.
Cosmolabe,A cosmolabe is a type of astrolabe that can be used to calculate the position of the stars.
Cosmolatry,Cosmolatry is the worship of the universe.
Cosmoline,A gun is covered with cosmoline to protect it from rust.
Cosmological,The cosmological constant is a fundamental constant that describes the expansion of the universe.
Cosmologist,A cosmologist studies the universe on a large scale.
Cosmology,Cosmology is the study of the universe.
Cosmometry,The cosmometry of the solar system is a complex topic.
Cosmoplastic,cosmetic surgery is sometimes called cosmoplastic
Cosmopolitan,A cosmopolitan person enjoys traveling and meeting new people.
Cosmopolitanism,People who embrace cosmopolitanism are open-minded and tolerant.
Cosmopolite,A cosmopolitan person enjoys traveling to new places and meeting new people.
Cosmopolitical,A cosmopolitical perspective can help us understand the interconnectedness of the world.
Cosmopolitism,A cosmopolitan person enjoys the cultural diversity of the world.
Cosmorama,"The Cosmorama is a large, cylindrical room that contains a series of dioramas."
Cosmoramic,cosmoramic images of the moon
Cosmos,The cosmos is full of wonders.
Cosmosphere,Cosmosphere is a term for the entire space that contains all of the universe.
Cosmotheism,Cosmotheism is the belief that the universe itself is God.
Cosmothetic,A woman applies a cosmotic to her face.
Cosovereign,A cosovereign is a person who shares sovereignty with another person.
Coss,Coss is a genus of moths.
Cossack,A Cossack is a member of a group of people who live in the steppes of Ukraine.
Cossas,Cossas estão acontecendo em todos os lugares.
Cosset,The cat was cosseted by its owner.
Cossic,The Cossic river originates in the French Alps.
Cossical,The Cossical Mountains are a range of mountains in Greece.
Cost,The cost of painting the wall was high.
Costa,Costa offers a variety of coffee drinks.
Costage,The costage of the apartment was exorbitant.
Costal,The costal muscles are responsible for breathing.
Costal-nerved,Leaves are costal-nerved.
Costard,"Costard is an actor in Shakespeare's play, Love's Labour's Lost."
Costardmonger,A costardmonger is a person who sells apples.
Costate,The costae are the ribs of a bird.
Costated,The two parties costated their agreement.
Costean,The boat was coasting along the coast.
Costeaning,A man is costeaning a boat in the harbor.
Costellate,The vertebrae are costellate with the neural spines.
Coster,A street vendor selling flowers from a barrow is a coster.
Costermonger,A costermonger is a street trader who sells fruit and vegetables.
Costiferous,Costiferous leaves have ribs along the midrib.
Costing,The costing was done by the accountant.
Costive,The patient had been constipated for two weeks.
Costively,The room was expensively decorated.
Costiveness,Prolonged costiveness can lead to intestinal blockage.
Costless,The costless gift of a smile can brighten someone's day.
Costlewe,Costlewe is a village in Suffolk.
Costliness,The costliness of the project was a major concern for the committee.
Costly,A costly mistake led to the company's downfall.
Costmary,A glass of water with a sprig of costmary.
Costotome,A costotome is used to measure the cost of a project.
Costrel,A costrel full of wine being carried by a man.
Costume,A woman wearing a costume at a party.
Costumer,Costumer trying on a wedding dress.
Co-sufferer,The two co-sufferers shared a bond that no one else could understand.
Cosupreme,The cosupreme of the Supreme Court is the Chief Justice.
Cosureties,Cosureties are parties that are jointly liable for a debt.
Cosurety,The cosurety posted bail for the defendant.
Cosy,A cosy little cabin in the woods.
Cot,A young boy asleep in his new cot.
Cotangent,The cotangent of 45 degrees is 1.
Cotarnine,Cotarnine is a compound found in the bark of the cinchona tree.
Cote,Cote d'Ivoire is a country in West Africa.
Cotemporaneous,The cotemporaneous paintings are on display in the museum.
Cotemporaries,The contemporary artists were inspired by the works of their predecessors.
Cotemporary,A contemporary artist uses recycled materials to create sculptures.
Cotenant,Two cotenants are discussing their share of the rent.
Coterie,The coterie of artists held a private showing for their patrons.
Coterminous,The two states are coterminous with each other.
Cotgare,Cotgare is a village in the north of Romania.
Cothurn,A statue of a Greek goddess wearing cothurns.
Cothurnate,The actor put on his cothurnate boots and stepped onto the stage.
Cothurnated,The cothurnated actor performed on stage.
Cothurnus,The actor wearing a cothurnus performs a tragedy.
Coticular,The coticular layer of the onion is a protective covering.
Cotidal,The cotidal lines represent equal tidal elevations.
Cotillion,A young woman and man dance the cotillion at a wedding.
Cotillon,The dancers performed a grand cotillon during the ball.
Cotinga,Cotinga is a bird found in the rain forest.
Cotise,The employees of the company are required to cotise a certain amount to the pension fund.
Cotised,The member cotised $100 to the union.
Cotland,The highland of Scotland is part of the country of Cotland.
Cotquean,A cotquean is a woman who is too concerned with household matters.
Cotqueanity,She was accused of cotqueanity for not knowing how to cook.
Cotrustee,A cotrustee is a person who shares the responsibility of managing a trust with another person.
Cotswold,The Cotswolds are a beautiful area of England.
Cottage,A small cottage in the countryside.
Cottaged,Cottaged house with white facade and colorful flowers.
Cottagely,The cottagely home was a perfect fit for the family.
Cottager,A cottager is a person who lives in a small cottage.
Cottar,A cottar is a peasant who rents a small piece of land from a landowner.
Cotter,A cotter is a metal pin used to hold two parts together.
Cottier,A cottier is a person who rents a small piece of land from a landlord.
Cottise,The cotteses are the small stones at the edge of the roof.
Cottised,The cottaged lane was lined with trees.
Cottoid,Cottoid is a kind of fish.
Cottolene,My grandmother used to cook with Cottolene.
Cotton,Cotton is a natural fiber.
Cottonade,A toddler wearing cottonade on a cold day.
Cottonary,Cottonary is a type of cloth.
Cottonous,Cottonous clouds are puffy and white.
Cottontail,Cottontail hopped through the field.
Cottonweed,The cottonweed is a tall plant with fluffy seeds.
Cottonwood,A cottonwood tree stands tall in the field.
Cottony,A cottony substance covers the surface of the plant.
Cottrel,"Cottrel is a small village in Shropshire, England."
Cotyla,Cotyla is a genus of moths in the family Crambidae.
Cotyle,A cotyledon is the first leaf of a plant embryo.
Cotyledon,A cotyledon is the first leaf of a plant.
Cotyledonal,Cotyledonal leaves are the first leaves to emerge from a seed.
Cotyledonary,The cotyledonary node is the point where the first pair of cotyledons emerge from the seed.
Cotyledonous,The cotyledonous seed is the first structure to emerge from the seed coat.
Cotyliform,Cotyliform leaves are simple leaves that are shaped like a heart.
Cotyligerous,Cotyligerous larvae have a characteristic ventral tube.
Cotyloid,Cotyledons are the first leaves of a plant.
Couage,The courage of the soldiers inspired the people.
Coucal,A coucal camouflages itself in tall grass.
Couch,A woman sits on the couch watching TV.
Couch grass,Couch grass growing in a meadow.
Couchancy,The couchancy of the cat allowed it to be easily captured.
Couchant,The sun was couchant behind the mountains.
Couche,A white cat is sleeping on a beige couch.
Couched,She couched her request in polite terms.
Couchee,The sun was couched behind a thin layer of clouds.
Coucher,The sun had already couched beyond the horizon.
Couching,A person is couching in the living room.
Couchless,Homeless people are couchless.
Coudee,A man looks up a street while standing at the coudee of a bridge.
Cougar,A cougar is stalking its prey.
Cough,The old man coughed up blood.
Coughed,The little girl coughed into her sleeve.
Cougher,The cougher was trying to cover his mouth but it was too late.
Coughing,A man coughing into his hand.
Couhage,The couhage is a traditional dish made from dried meat.
Could,A child could fall off a swing.
Coulee,"The coulee was a deep, narrow valley."
Coulisse,The stage hand was working behind the coulisse.
Couloir,The skiers were skiing down the couloir.
Coulomb,A coulomb is the SI unit of electric charge.
Coulter,Coulter is a surname.
Coulterneb,Coulterneb is a high point on the Pennines.
Coumaric,Coumarin can be found in many plants.
Coumarin,Coumarin is a chemical compound found in vanilla extract.
Council,the council voted unanimously to approve the budget
Councilist,A Councillor is a member of a local council.
Councilman,Councilman is elected by the people.
Councilmen,The city councilmen met to discuss the budget.
Councilor,The Councilor was elected for a term of four years.
Co-une,The co-une was formed to help refugees find housing.
Co-unite,The two parties co-unite to form a new political party.
Counsel,Counsel is a person who gives advice in law.
Counselable,Counselable people are willing to accept help from others.
Counseled,The patient was counseled by the therapist before his surgery.
Counseling,Counseling provides a safe environment for people to talk about their problems.
Counselled,"The counselling was helpful, he was able to come to terms with his past."
Counselling,Counselling helps people to work through their problems.
Counselor,A counselor is someone who provides advice and support to people who are struggling with problems.
Counselorship,Counselors provide counseling to people in need.
Count,Count the number of words in this sentence.
Countable,There are many countable objects in a room.
Counted,The cashier counted out the change.
Countenance,She wore a countenance of happiness.
Countenanced,The government countenanced the protests.
Countenancer,The countenancer of the meeting was a stern-looking man.
Countenancing,The man countenanced the woman's lies.
Counter,There was a counter full of fresh bread and pastries for sale.
Counter brace,A piece of wood used as a counter brace to support a frame.
Counter tenor,Counter tenors sing in the highest vocal range.
Counter weight,A counter weight is used to balance a scale.
Counteract,The medicine counteracted the effects of the poison.
Counteracted,The cold weather counteracted the effects of the heat wave.
Counteractibely,The drug counteractibely counteracted the effects of the other drug.
Counteracting,Counteracting the effects of the global warming is a challenging task.
Counteraction,The counteraction of the law was swift and effective.
Counteractive,The counteractive effects of exercise on stress are well-documented.
Counterbalance,A counterweight counterbalances the weight of the platform.
Counterbalanced,The wheel is counterbalanced with a weight on the opposite side.
Counterbalancing,Counterbalancing the effect of the sun's rays.
Counterbore,A counterbore is a hole that is larger in diameter than the fastener it is receiving.
Counterbrace,The counterbrace must be aligned with the boom.
Counterbuff,The counterbuff on the new magic item is very powerful.
Countercast,The countercast was used to measure the strength of the magnetic field.
Countercaster,Countercasters are magicians who use their powers to combat other magicians.
Counterchange,The two colors of the flag counterchanged each other.
Counterchanged,The quilt is counterchanged with red and blue squares.
Counterchanging,The bank is counterchanging the money for me.
Countercharge,The defendant filed a countercharge against the plaintiff.
Countercharm,The wizard cast a countercharm to dispel the witch's spell.
Countercharmed,The countercharmed knight was immune to the wizard's spells.
Countercharming,the wizard countercharmed the dragon's fire
Countercheck,The technician counterchecked the readings on the pressure gauge.
Counterchecked,The account records were counterchecked by the auditor.
Counterchecking,Counterchecking the accounts is a necessary part of the audit process.
Counterclaim,The defendant filed a counterclaim against the plaintiff.
Counter-compony,A counter-compony is a company that is formed to compete with another company.
Counter-couchant,"Two lions, counter-couchant, guard the entrance to the castle."
Counter-courant,The counter-courant in the river was strong enough to capsize the canoe.
Countercurrent,The countercurrent in the ocean helps to transport warm water away from the equator.
Counterdraw,The artist used a pencil to counterdraw the sketch.
Counterdrawing,A counterdrawing is a drawing that is made on top of another drawing.
Counterdrawn,A check was counterdrawn.
Counterdrew,The lawyer counterdrew the plaintiff's argument.
Counterfaisance,Counterfaisance is the act of making or selling copies of a trademarked or copyrighted work without the permission of the owner.
Counterfeit,A counterfeit bill was passed at the grocery store.
Counterfeited,Counterfeited money is illegal.
Counterfeiter,The counterfeiter was arrested after a long investigation.
Counterfeiting,Counterfeiting is the illegal production and distribution of goods or money.
Counterfeitly,A counterfeitly painted Mona Lisa hangs in the Louvre.
Counterfesance,Counterfesance is the act of making or using a false copy of something.
Counterfleury,A counterfleury is a stylized flower or leaf with a curled or twisted stem.
Counterflory,The counterflory pattern is a type of embroidery that is often used in heraldry.
Counterfoil,This receipt has a perforated counterfoil.
Counterforce,The counterforce of the army was able to repel the enemy attack.
Counterfort,The Gothic cathedral has counterforts at the base of its walls.
Countergage,A man uses a countergage to calibrate a machine.
Counterguard,The counterguard on the castle was built to protect the castle from attack.
Counterirritant,A counterirritant is a substance that causes temporary irritation in order to relieve pain in another area.
Counterirritate,"His eczema is getting worse, so he uses a cream to counterirritate it."
Counterirritation,Cold pack applied to the swollen ankle provided counterirritation.
Counterjumper,The counterjumper was a hard worker.
Counterman,The counterman was waiting for the next customer.
Countermand,The captain countermanded the order to fire the cannons.
Countermandable,The countermandable order was rescinded.
Countermanded,The order was countermanded by the manager.
Countermanding,The judge's countermanding of the jury's verdict surprised everyone.
Countermarch,A group of soldiers countermarch in a parade.
Countermarched,The troops countermarched and reformed their ranks.
Countermarching,Troops countermarching across the parade ground.
Countermark,There is a countermark on the back of the coin.
Countermen,Countermen at a local deli prepare food for customers.
Countermine,The soldier uses a mine detector to countermine the road.
Countermined,"The troops successfully counterattacked, undermining the enemy's position."
Countermining,The general was countermining the enemy's efforts to breach their defenses.
Countermove,The army's countermove successfully thwarted the enemy's attack.
Countermovement,The countermovement of the pendulum is what causes it to swing back and forth.
Countermure,A countermure is a defensive wall that is built behind another wall.
Countermured,The countermured fort was built to protect the town from attack.
Countermuring,The king ordered the countermuring of the city walls.
Counternatural,A counternatural force threatens the existence of the universe.
Counter-paly,The chess master's counter-play was flawless.
Counterpane,A pink counterpane covers the bed.
Counterpart,The CEO met with his Japanese counterpart to discuss the new partnership.
Counterpassant,The counterpassant is a chess piece that moves diagonally forward and to the side.
Counterplead,Defendant counterpleads with a complaint against the plaintiff.
Counterplot,The counterplot to overthrow the king failed.
Counterplotted,The general counterplotted the enemy's moves.
Counterplotting,The general was busy counterplotting the enemy's next move.
Counterpoint,The counterpoint between the two melodies was beautiful.
Counterpoise,The counterpoise is the weight used to balance a scale.
Counterpoised,The scale was counterpoised with a small weight.
Counterpoising,A ballet dancer counterpoises her weight on her left leg.
Counterpole,A counterpole is a pole that is opposite another pole.
Counterponderate,The politician's statements counterponderated the news report.
Counterprove,The theory was counterproved by the new evidence.
Counterproved,The lawyer's argument was counterproved by the evidence presented by the opposing side.
Counterproving,Counterproving the claims made by the other side of the argument.
Counter-roll,The dancer performed a counter-roll to show off her skills.
Counterrolment,Counterrollment is the process of cancelling a previous enrolment.
Counter-salient,A counter-salient is a military maneuver in which an attacking force moves to the rear of the defending force in order to cut off its supply lines.
Counterscale,the counterscale was used to weigh the gold.
Counterscarf,A scarf in a contrasting color is called a counterscarf.
Counterseal,The documents were signed and countersealed by both parties.
Countersealed,A letter countersealed with wax and ribbon.
Countersealing,Countersealing ensures that the original document cannot be changed.
Countersecure,The military is working to countersecure the city from further attacks.
Countershaft,The countershaft is connected to the driveshaft.
Countersign,The general countersigned the document.
Countersigned,The contract was countersigned by both parties.
Countersigning,The CEO countersigned the contract.
